Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,ExpProfit,Profit
450,Memphis ,False,Memphis +16.5 L,2026-02-19,-129,129,-139,-3.1,spread,3503.5,L,-109,-3503
450,Memphis ,False,Memphis +18.5 L,2026-02-19,-103,103,120,11.6,spread,2041.2,L,237,-2041
451,Montana ,False,Montana State ml L,2026-02-19,351,-351,500,33.0,moneyline,246.4,L,81,-246
452,New ,False,New Haven ml L,2026-02-19,-170,170,-137,8.9,moneyline,1028.3,W,92,750
453,Orlando ,True,Orlando Magic o107.5 1h L,2026-02-19,-125,128,-110,6.7,total,1370.6,W,92,1245
454,Phoenix ,False,Phoenix Suns +24.5 L,2026-02-19,105,-125,118,1.9,spread,3110.8,L,59,-3110
455,Phoenix ,True,Phoenix Suns o232.5 L,2026-02-19,-125,125,-106,8.0,total,1738.8,L,139,-1738
455,Phoenix ,True,Phoenix Suns u227.5 L,2026-02-19,105,-105,125,9.8,total,1288.0,W,126,1610
455,Phoenix ,True,Phoenix Suns u223.5 L,2026-02-19,103,-103,140,18.2,total,1057.7,W,193,1480
455,Phoenix ,True,Phoenix Suns o217.5 L,2026-02-19,-148,148,140,43.2,total,1087.1,L,470,-1087
455,Phoenix ,True,Phoenix Suns o216.5 L,2026-02-19,-181,181,108,34.0,total,1370.6,L,466,-1370
455,Phoenix ,True,Phoenix Suns o215.5 L,2026-02-19,-227,227,-120,27.3,total,1805.3,L,493,-1805
455,Phoenix ,True,Phoenix Suns o214.5 L,2026-02-19,-200,200,-122,21.3,total,1805.3,W,385,1479
456,Presbyterian ,False,Presbyterian ml L,2026-02-19,104,-104,120,7.8,moneyline,616.7,W,48,740
457,Sacramento ,False,Sacramento Kings +20.5 L,2026-02-19,-109,109,105,6.9,spread,2349.9,L,162,-2349
458,USC ,False,USC Upstate +6.5 L,2026-02-19,-120,120,-139,-6.2,spread,695.1,W,-43,500
459,UT ,False,UT Martin ml L,2026-02-19,135,-135,190,23.4,moneyline,393.4,L,92,-393
460,Weber ,False,Weber State ml L,2026-02-19,-200,200,-175,4.8,moneyline,2127.3,W,102,1215
461,Rider ,False,Rider +5.5 L,2026-02-20,-117,117,118,17.5,spread,197.4,L,35,-197
462,California ,False,California -9.5 L,2026-02-21,-111,111,120,15.7,spread,630.0,L,99,-630
462,California ,False,California -9.5 L,2026-02-21,108,-108,128,9.6,spread,630.0,L,60,-630
462,California ,False,California -10.5 L,2026-02-21,-123,123,-103,8.7,spread,840.0,L,73,-840
463,Clemson ,False,Clemson +1.5 L,2026-02-21,-126,126,-106,8.3,spread,840.0,L,70,-840
464,Coastal ,False,Coastal Carolina -10.5 L,2026-02-21,100,-100,112,6.0,spread,0.0,P,0,0
465,Cornell ,False,Cornell ml L,2026-02-21,100,-100,135,17.5,moneyline,304.5,L,53,-304
466,Duquesne ,False,Duquesne +12.5 L,2026-02-21,115,-115,125,4.7,moneyline,197.4,W,9,246
467,Georgetown ,True,Georgetown o113.5 L,2026-02-21,-132,132,-109,9.1,total,89.6,L,8,-89
468,Georgia ,True,Georgia Tech u160.5 L,2026-02-21,-107,107,112,9.6,total,441.0,W,42,493
469,Miami ,True,Miami Florida u162.5 L,2026-02-21,107,-107,130,11.1,total,350.0,L,39,-350
470,Nebraska ,False,Nebraska -26.5 L,2026-02-21,129,-129,170,17.9,spread,350.0,L,63,-350
471,North ,True,North Carolina u138.5 L,2026-02-21,-130,130,-110,7.9,total,520.1,L,41,-520
472,St. ,False,St. John's -29.5 L,2026-02-21,114,-114,130,7.5,spread,595.0,L,45,-595
473,Texas ,False,Texas Tech -25.5 L,2026-02-21,119,-119,138,8.7,spread,548.8,W,48,757
473,Texas ,False,Texas Tech -24.5 L,2026-02-21,104,-104,128,11.8,spread,525.0,W,62,672
474,UL ,False,UL Lafayette -7.5 L,2026-02-21,-108,108,110,9.0,spread,210.0,W,19,231
475,Virginia ,False,Virginia ml L,2026-02-21,-168,168,108,30.4,moneyline,700.0,W,213,756
475,Virginia ,False,Virginia ml L,2026-02-21,-139,139,140,39.6,moneyline,556.5,W,220,779
475,Virginia ,False,Virginia ml L,2026-02-21,-167,167,107,29.5,moneyline,735.0,W,217,786
475,Virginia ,False,Virginia -2.5 L,2026-02-21,-121,121,180,53.3,spread,422.1,W,225,759
475,Virginia ,False,Virginia +0.5 L,2026-02-21,100,-100,115,7.5,,716.1,W,54,823
476,Abilene ,False,Abilene Christian +3.5 L,2026-02-28,104,-104,125,10.3,spread,594.3,L,61,-594
477,Arkansas ,False,Arkansas +6.5 L,2026-02-28,-104,104,115,9.6,spread,2149.0,L,206,-2149
478,Arkansas ,True,Arkansas o177.5 L,2026-02-28,101,-137,135,8.7,total,366.8,W,32,495
479,Auburn ,False,Auburn ml L,2026-02-28,247,-247,275,8.1,moneyline,300.3,L,24,-300
480,Austin ,False,Austin Peay ml L,2026-02-28,-121,121,115,17.7,moneyline,361.9,L,64,-361
480,Austin ,False,Austin Peay ml L,2026-02-28,-107,107,123,15.3,moneyline,335.3,L,51,-335
481,Bellarmine ,False,Bellarmine -6.5 L,2026-02-28,-106,106,125,15.8,spread,595.0,W,94,743
482,Boise ,False,Boise State -13.5 L,2026-02-28,105,-105,125,9.8,spread,604.1,W,59,755
483,Cal ,True,Cal State Northridge o175.5 L,2026-02-28,108,-108,140,15.4,total,538.3,W,83,753
484,California ,False,California +2.5 L,2026-02-28,-110,110,-130,-7.3,spread,977.9,L,-71,-977
485,Connecticut ,False,Connecticut ml L,2026-02-28,-136,136,100,15.3,moneyline,826.0,W,126,826
485,Connecticut ,False,Connecticut ml L,2026-02-28,-171,171,-122,14.8,moneyline,1019.9,W,151,835
486,Detroit ,True,Detroit Mercy o172.5 L,2026-02-28,-129,129,102,13.8,total,165.2,W,23,168
486,Detroit ,True,Detroit Mercy u178.5 L,2026-02-28,-102,102,116,9.1,total,143.5,L,13,-143
487,East ,False,East Tennessee State +4.5 L,2026-02-28,104,-104,123,9.3,spread,604.1,L,56,-604
488,Florida ,True,Florida State u153.5 L,2026-02-28,-101,101,120,10.5,total,206.5,W,22,247
488,Florida ,True,Florida International o158.5 L,2026-02-28,103,-103,125,10.8,total,198.1,W,21,247
489,Furman ,False,Furman ml L,2026-02-28,136,-136,185,20.8,moneyline,223.3,L,46,-223
489,Furman ,False,Furman ml L,2026-02-28,181,-181,275,33.5,moneyline,152.6,L,51,-152
490,Furman ,True,Furman o148.5 L,2026-02-28,-103,103,120,11.6,total,619.5,W,72,743
490,Furman ,True,Furman o147.5 L,2026-02-28,-101,101,116,8.5,total,214.9,W,18,249
491,Howard ,True,Howard o138.5 L,2026-02-28,-110,-110,110,5.0,total,149.8,W,7,164
492,Idaho ,False,Idaho ml L,2026-02-28,-102,102,110,6.0,moneyline,630.0,L,38,-630
493,Iowa ,True,Iowa u151.5 L,2026-02-28,-146,146,-111,12.8,total,556.5,W,71,501
494,IUPUI ,False,IUPUI ml L,2026-02-28,195,-195,260,22.0,moneyline,95.2,L,21,-95
494,IUPUI ,False,IUPUI +3.5 L,2026-02-28,-104,104,115,9.6,spread,144.9,L,14,-144
495,Lafayette ,False,Lafayette -9.5 L,2026-02-28,-104,104,116,10.1,spread,143.5,L,14,-143
496,Lamar ,False,Lamar +4.5 L,2026-02-28,-102,102,118,10.1,spread,213.5,L,22,-213
497,Le ,False,Le Moyne ml L,2026-02-28,-156,156,-118,12.6,moneyline,291.2,L,37,-291
498,Long ,False,Long Beach State ml L,2026-02-28,-107,107,120,13.7,moneyline,619.5,W,85,743
499,Louisville ,False,Louisville ml L,2026-02-28,126,-126,165,17.3,moneyline,500.5,L,87,-500
500,Loyola ,True,Loyola Maryland u153.5 L,2026-02-28,-133,100,-133,-6.6,total,223.3,W,-15,167
500,Loyola ,True,Loyola Maryland u151.5 L,2026-02-28,-232,232,-123,26.7,total,206.5,W,55,167
501,Massachusetts ,True,Massachusetts o142.5 L,2026-02-28,104,-104,133,14.2,total,165.9,W,24,220
502,Missouri ,False,Missouri -20.5 L,2026-02-28,101,-101,118,8.5,spread,705.6,W,60,832
503,Missouri ,True,Missouri u152.5 L,2026-02-28,-103,103,112,7.6,total,450.1,W,34,504
504,NC ,False,NC State -7.5 L,2026-02-28,-102,102,138,20.2,spread,183.4,L,37,-183
504,NC ,False,NC State ml L,2026-02-28,238,-310,360,29.4,moneyline,114.1,L,34,-114
505,Nebraska ,True,Nebraska u144.5 L,2026-02-28,-104,104,114,9.1,total,221.2,L,20,-221
505,Nebraska ,True,Nebraska u143.5 L,2026-02-28,106,-106,125,9.2,total,198.1,L,18,-198
505,Nebraska ,True,Nebraska u145.5 L,2026-02-28,-111,111,120,15.7,total,630.0,L,99,-630
506,Nebraska-Omaha ,True,Nebraska-Omaha u136.5 L,2026-02-28,-106,106,125,15.8,total,594.3,W,94,742
507,New ,False,New Mexico State -4.5 L,2026-02-28,117,-117,135,8.3,spread,183.4,L,15,-183
508,North ,False,North Carolina A&T +13.5 L,2026-02-28,-156,156,-119,12.1,spread,198.8,W,24,167
508,North ,False,North Carolina A&T +3.5 L,2026-02-28,-117,117,100,7.8,spread,168.0,W,13,168
509,Northern ,False,Northern Colorado ml L,2026-02-28,116,-116,140,11.1,moneyline,179.9,W,20,251
510,Ole ,False,Ole Miss -2.5 L,2026-02-28,-112,112,120,16.2,spread,688.1,W,111,825
511,Pacific ,False,Pacific +8.5 L,2026-02-28,-103,103,116,9.6,spread,143.5,L,14,-143
512,Penn ,False,Penn State +4.5 L,2026-02-28,-112,112,104,7.8,spread,809.9,W,63,842
512,Penn ,False,Penn State +5.5 L,2026-02-28,105,-105,125,9.8,spread,671.3,W,66,839
513,Portland ,False,Portland State +12.5 L,2026-02-28,130,-130,120,-4.3,spread,630.0,W,-27,756
514,Providence ,False,Providence +3.5 L,2026-02-28,-143,143,-121,7.5,spread,2964.5,W,222,2450
514,Providence ,False,Providence +2.5 L,2026-02-28,-113,113,104,8.2,spread,2355.5,W,193,2449
514,Providence ,False,Providence ml L,2026-02-28,-109,109,107,8.0,moneyline,2333.1,W,187,2496
515,Queens ,True,Queens o142.5 L,2026-02-28,-107,107,112,9.6,total,149.1,W,14,166
516,Samford ,False,Samford -12.5 L,2026-02-28,101,-101,130,14.4,spread,193.2,L,28,-193
517,San ,False,San Diego State ml L,2026-02-28,260,-260,500,66.7,moneyline,490.0,L,327,-490
518,San ,True,San Francisco u152.5 L,2026-02-28,-115,-115,100,0.0,total,458.5,W,0,458
519,Seton ,True,Seton Hall u123.5 L,2026-02-28,106,-106,125,9.2,total,372.4,L,34,-372
520,St. ,False,St. John's -30.5 L,2026-02-28,-102,102,128,15.1,spread,1960.0,L,296,-1960
521,Stetson ,False,Stetson -7.5 L,2026-02-28,-109,109,112,10.6,spread,149.8,W,16,167
521,Stetson ,False,Stetson -11.5 L,2026-02-28,-108,108,112,10.1,spread,149.8,W,15,167
522,Stony ,True,Stony Brook o131.5 L,2026-02-28,-104,104,120,12.2,total,619.5,L,76,-619
523,Tarleton ,True,Tarleton State o154.5 L,2026-02-28,-104,104,125,14.7,total,604.1,L,89,-604
524,Tennessee ,False,Tennessee State -22.5 L,2026-02-28,-108,108,114,11.1,spread,144.9,W,16,165
525,Texas ,False,Texas ml L,2026-02-28,109,-109,148,18.7,moneyline,557.9,W,104,825
525,Texas ,False,Texas A&M ml L,2026-02-28,105,-105,125,9.8,moneyline,1960.0,L,192,-1960
525,Texas ,False,Texas Tech -5.5 L,2026-02-28,105,-105,150,22.0,spread,1654.8,W,364,2482
525,Texas ,False,Texas Tech ml L,2026-02-28,-875,875,-400,12.2,moneyline,4200.0,W,512,1050
526,Texas ,True,Texas Tech u148.5 L,2026-02-28,103,-103,128,12.3,total,396.2,L,49,-396
526,Texas ,True,Texas Tech u147.5 L,2026-02-28,-106,106,120,13.2,total,413.0,L,55,-413
526,Texas ,True,Texas Tech u149.5 L,2026-02-28,-119,119,-103,7.1,total,505.4,L,36,-505
526,Texas ,True,Texas Tech u142.5 L,2026-02-28,111,-111,143,15.2,total,1046.5,L,159,-1046
526,Texas ,True,Texas Tech u143.5 L,2026-02-28,-101,101,120,10.5,total,1193.5,L,125,-1193
527,The ,False,The Citadel +6.5 L,2026-02-28,110,-110,135,11.9,spread,186.2,W,22,251
527,The ,False,The Citadel -7.5 L,2026-02-28,-111,111,140,26.3,spread,538.3,L,142,-538
528,Toledo ,True,Toledo u145.5 L,2026-02-28,-105,105,132,18.8,total,571.9,L,108,-571
529,Toronto ,False,Toronto Raptors -10.5 L,2026-02-28,247,-247,290,12.4,spread,1255.1,L,156,-1255
530,Toronto ,True,Toronto Raptors u246.5 L,2026-02-28,111,-111,155,20.9,total,1073.1,L,224,-1073
530,Toronto ,True,Toronto Raptors u257.5 L,2026-02-28,-103,103,125,14.2,total,1189.3,L,169,-1189
531,UC ,True,UC Santa Barbara o127.5 L,2026-02-28,103,-103,128,12.3,total,581.0,L,71,-581
531,UC ,True,UC Santa Barbara o127.5 L,2026-02-28,-104,104,112,8.1,total,604.1,L,49,-604
532,UMBC ,False,UMBC -9.5 L,2026-02-28,-104,104,112,8.1,spread,149.8,W,12,167
533,UMBC ,True,UMBC o151.5 L,2026-02-28,-105,105,120,12.7,total,175.7,L,22,-175
534,UNC ,True,UNC Greensboro u166.5 L,2026-02-28,-110,110,118,14.2,total,211.4,W,30,249
535,USC ,False,USC Upstate -12.5 L,2026-02-28,-102,102,117,9.6,spread,143.5,L,14,-143
535,USC ,False,USC +5.5 L,2026-02-28,122,-122,140,8.1,spread,183.4,L,15,-183
536,Utah ,False,Utah Tech ml L,2026-02-28,149,-149,188,15.7,moneyline,401.8,L,63,-401
537,UTEP ,True,UTEP u170.5 L,2026-02-28,-101,101,123,12.1,total,198.1,L,24,-198
538,Vanderbilt ,False,Vanderbilt +3.5 L,2026-02-28,-107,107,112,9.6,spread,751.1,L,72,-751
539,Virginia ,True,Virginia u132.5 L,2026-02-28,-102,102,125,13.6,total,395.5,W,54,494
540,VMI ,True,VMI u155.5 L,2026-02-28,-104,104,114,9.1,total,147.0,L,13,-147
541,Wake ,False,Wake Forest +1.5 L,2026-02-28,-102,102,118,10.1,spread,2097.2,W,212,2474
542,Weber ,False,Weber State -14.5 L,2026-02-28,100,-100,125,12.5,spread,594.3,L,74,-594
543,Western ,False,Western Carolina -5.5 L,2026-02-28,106,-106,120,6.8,spread,206.5,W,14,247
544,Wofford ,False,Wofford ml L,2026-02-28,672,-672,1150,61.9,moneyline,112.0,L,69,-112
545,Wright ,False,Wright State +10.5 L,2026-02-28,108,-108,128,9.6,spread,581.0,W,56,743
546,Cal ,False,Cal State Fullerton +4.5 L,2026-03-05,101,-101,125,11.9,spread,194.6,W,23,243
546,Cal ,False,Cal State Fullerton ml L,2026-03-05,278,-278,340,16.4,moneyline,119.0,W,20,404
546,Cal ,False,Cal State Fullerton +6.5 L,2026-03-05,109,-109,132,11.0,spread,184.8,W,20,243
546,Cal ,False,Cal State Fullerton +6.5 L,2026-03-05,106,-106,138,15.5,spread,176.4,W,27,243
546,Cal ,False,Cal State Bakersfield ml L,2026-03-05,313,-313,360,11.4,moneyline,67.2,L,8,-67
546,Cal ,False,Cal State Fullerton ml L,2026-03-05,546,-546,650,16.1,moneyline,62.3,W,10,404
547,Cal ,True,Cal State Northridge o170.5 L,2026-03-05,-106,106,116,11.1,total,140.0,L,16,-140
548,Colgate ,False,Colgate -10.5 L,2026-03-05,-102,102,130,16.1,spread,187.6,W,30,243
548,Colgate ,False,Colgate -8.5 L,2026-03-05,-115,115,-100,7.0,spread,187.6,W,13,187
548,Colgate ,False,Colgate -10.5 L,2026-03-05,105,-105,133,13.7,spread,183.4,W,25,243
548,Colgate ,False,Colgate -10.5 L,2026-03-05,-104,104,140,22.4,spread,173.6,W,39,243
549,Denver ,False,Denver Nuggets ml L,2026-03-05,-170,170,-137,8.9,moneyline,1670.9,W,149,1219
550,East ,False,East Carolina +23.5 L,2026-03-05,-114,114,123,18.8,spread,198.1,L,37,-198
551,Evansville ,True,Evansville o141.5 L,2026-03-05,118,-118,118,0.0,total,389.9,L,0,-389
552,Jacksonville ,False,Jacksonville State -9.5 L,2026-03-05,-108,108,115,11.6,spread,141.4,L,16,-141
553,Loyola ,False,Loyola Marymount ml L,2026-03-05,266,-266,310,12.0,moneyline,261.8,L,31,-261
553,Loyola ,False,Loyola Marymount ml L,2026-03-05,265,-265,320,15.1,moneyline,254.1,L,38,-254
554,Middle ,True,Middle Tennessee State u137.5 L,2026-03-05,106,-106,135,14.1,total,180.6,L,25,-180
555,Missouri ,False,Missouri State +4.5 L,2026-03-05,110,-110,138,13.3,spread,176.4,W,23,243
556,Navy ,False,Navy ml L,2026-03-05,-230,230,-132,22.5,moneyline,534.8,W,120,405
556,Navy ,False,Navy -6.5 L,2026-03-05,107,-107,138,15.0,spread,176.4,L,26,-176
557,New ,False,New Orleans Pelicans -9.5 L,2026-03-05,108,-143,120,-1.1,spread,676.2,W,-7,811
558,Pepperdine ,True,Pepperdine u157.5 L,2026-03-05,101,-101,130,14.4,total,187.6,W,27,243
559,South ,True,South Florida o184.5 L,2026-03-05,122,-122,125,1.4,total,389.9,W,5,487
559,South ,True,South Florida o188.5 L,2026-03-05,103,-103,125,10.8,total,389.9,L,42,-389
560,Tulsa ,False,Tulsa -22.5 L,2026-03-05,-140,140,-105,13.9,spread,257.6,W,36,245
561,UC ,False,UC San Diego ml L,2026-03-05,-119,119,-105,6.1,moneyline,427.7,L,26,-427
562,UT ,True,UT Arlington o129.5 L,2026-03-05,108,-108,133,12.0,total,183.4,L,22,-183
563,Washington ,False,Washington Wizards +13.5 L,2026-03-05,-124,124,105,13.5,spread,1161.3,W,157,1219
564,Arkansas ,False,Arkansas ml L,2026-03-07,100,-100,138,19.0,moneyline,1172.5,W,223,1618
564,Arkansas ,False,Arkansas ml L,2026-03-07,-110,110,123,16.8,moneyline,1315.3,W,221,1617
564,Arkansas ,False,Arkansas ml L,2026-03-07,-108,108,114,11.1,moneyline,1419.6,W,158,1618
564,Arkansas ,False,Arkansas ml L,2026-03-07,-110,110,114,12.1,moneyline,952.7,W,115,1086
565,Arkansas ,True,Arkansas u162.5 L,2026-03-07,100,-100,123,11.5,total,788.9,L,91,-788
565,Arkansas ,True,Arkansas o160.5 L,2026-03-07,-113,113,120,16.7,total,809.2,W,135,971
566,Connecticut ,False,Connecticut ml L,2026-03-07,-135,135,-104,12.7,moneyline,842.8,L,107,-842
566,Connecticut ,False,Connecticut ml L,2026-03-07,492,-492,950,77.4,moneyline,21.0,L,16,-21
566,Connecticut ,False,Connecticut ml L,2026-03-07,555,-555,700,22.1,moneyline,28.7,L,6,-28
567,Connecticut ,True,Connecticut o134.5 L,2026-03-07,-100,100,125,12.5,total,96.6,L,12,-96
568,Davidson ,False,Davidson -11.5 L,2026-03-07,-109,109,120,14.7,spread,404.6,L,59,-404
569,Georgia ,False,Georgia Tech +10.5 L,2026-03-07,-155,155,-114,14.1,spread,1838.9,W,259,1613
569,Georgia ,False,Georgia Tech +10.5 L,2026-03-07,-157,157,-114,14.7,spread,1838.9,W,270,1613
569,Georgia ,False,Georgia Tech +7.5 L,2026-03-07,103,-103,125,10.8,spread,1294.3,W,140,1617
569,Georgia ,False,Georgia Tech ml L,2026-03-07,131,-131,185,23.4,moneyline,874.3,L,205,-874
569,Georgia ,False,Georgia Tech +4.5 L,2026-03-07,-152,152,-103,18.9,spread,1668.1,W,315,1619
569,Georgia ,False,Georgia Tech +3.5 L,2026-03-07,-124,124,115,19.0,spread,1407.0,W,267,1618
569,Georgia ,False,Georgia Tech +2.5 L,2026-03-07,-131,131,118,23.6,spread,1371.3,L,324,-1371
569,Georgia ,False,Georgia Tech ml L,2026-03-07,122,-122,195,32.9,moneyline,829.5,L,273,-829
569,Georgia ,False,Georgia Tech +2.5 L,2026-03-07,-112,112,128,20.5,spread,1264.2,L,259,-1264
569,Georgia ,False,Georgia Tech +4.5 L,2026-03-07,-165,165,-110,18.9,spread,868.0,W,164,789
569,Georgia ,False,Georgia Tech +3.5 L,2026-03-07,-109,109,130,20.0,spread,1244.6,W,249,1617
570,Kansas ,True,Kansas State o153.5 L,2026-03-07,-129,129,-103,11.0,total,249.9,W,27,242
571,Louisiana ,True,Louisiana Tech o132.5 L,2026-03-07,-103,103,118,10.6,total,410.9,L,44,-410
572,Missouri ,False,Missouri ml L,2026-03-07,-107,107,114,10.6,moneyline,1348.2,L,143,-1348
573,Notre ,True,Notre Dame o137.5 L,2026-03-07,-107,107,115,11.1,total,844.2,W,94,970
574,Stony ,False,Stony Brook ml L,2026-03-07,214,-214,245,9.9,moneyline,329.7,L,33,-329
575,UNC ,True,UNC Greensboro o154.5 L,2026-03-07,-132,132,105,16.6,total,92.4,L,15,-92
576,Villanova ,False,Villanova -12.5 L,2026-03-07,-133,133,-106,10.9,spread,1721.3,W,188,1623
577,Charlotte ,True,Charlotte Hornets u205.5 L,2026-03-10,150,-150,128,-8.8,total,572.6,W,-50,732
578,Detroit ,True,Detroit Pistons u114.5 1h L,2026-03-10,-166,166,-127,11.5,total,1547.0,W,178,1218
579,Florida ,False,Florida International ml L,2026-03-10,125,-125,150,11.1,moneyline,1629.6,L,181,-1629
580,Idaho ,False,Idaho -6.5 L,2026-03-10,-104,104,114,9.1,spread,321.3,W,29,366
580,Idaho ,False,Idaho -8.5 L,2026-03-10,-108,108,118,13.2,spread,310.1,W,41,365
580,Idaho ,False,Idaho -7.5 L,2026-03-10,-143,143,-111,11.9,spread,407.4,W,48,367
580,Idaho ,False,Idaho -10.5 L,2026-03-10,113,-113,138,11.7,spread,265.3,W,31,366
580,Idaho ,False,Idaho -11.5 L,2026-03-10,-103,103,116,9.6,spread,315.7,W,30,366
581,Idaho ,True,Idaho o144.5 L,2026-03-10,-105,105,132,18.8,total,277.2,W,52,365
581,Idaho ,True,Idaho o144.5 L,2026-03-10,-111,111,120,15.7,total,305.2,W,48,366
581,Idaho ,True,Idaho o149.5 L,2026-03-10,-105,105,138,21.9,total,265.3,L,58,-265
581,Idaho ,True,Idaho o146.5 L,2026-03-10,-103,103,135,19.2,total,271.6,W,52,366
581,Idaho ,True,Idaho o144.5 L,2026-03-10,-160,160,-115,15.1,total,421.4,W,64,366
582,Kansas ,True,Kansas State u190.5 L,2026-03-10,109,-109,128,9.1,total,1145.9,L,104,-1145
583,Long ,False,Long Island ml L,2026-03-10,-122,122,-110,4.9,moneyline,2685.9,W,132,2441
584,Los ,False,Los Angeles Lakers -13.5 L,2026-03-10,-134,134,-104,12.3,spread,1272.6,W,157,1223
584,Los ,False,Los Angeles Lakers -12.5 L,2026-03-10,-130,130,-109,8.4,spread,1327.9,W,112,1218
584,Los ,False,Los Angeles Lakers -11.5 L,2026-03-10,-171,171,-141,7.9,spread,1721.3,W,136,1220
584,Los ,False,Los Angeles Lakers -13.5 L,2026-03-10,101,-101,116,7.5,spread,1053.5,W,79,1222
585,Mercyhurst ,True,Mercyhurst u152.5 L,2026-03-10,116,-117,120,1.6,total,1222.2,W,20,1466
586,Milwaukee ,False,Milwaukee Bucks -4.5 L,2026-03-10,149,-149,175,10.4,spread,2079.7,L,216,-2079
586,Milwaukee ,False,Milwaukee Bucks ml L,2026-03-10,-132,132,-105,11.1,moneyline,3858.4,L,428,-3858
587,Minnesota ,True,Minnesota Timberwolves o216.5 L,2026-03-10,164,-164,188,9.1,total,389.9,W,35,733
588,Monmouth ,True,Monmouth u136.5 L,2026-03-10,-103,103,116,9.6,total,1264.2,L,121,-1264
589,Oklahoma ,False,Oklahoma State -9.5 L,2026-03-10,-112,112,108,9.9,spread,2144.1,L,212,-2144
590,Oklahoma ,True,Oklahoma State o174.5 L,2026-03-10,175,-175,175,0.0,total,837.9,W,0,1466
591,Oregon ,False,Oregon +18.5 L,2026-03-10,-111,111,106,8.4,spread,2305.8,W,194,2444
592,Portland ,False,Portland State ml L,2026-03-10,108,-108,125,8.2,moneyline,977.2,L,80,-977
592,Portland ,False,Portland Trail Blazers ml L,2026-03-10,210,-210,650,141.9,moneyline,281.4,L,399,-281
593,San ,False,San Antonio Spurs ml L,2026-03-10,-144,144,-120,8.2,moneyline,4404.4,W,361,3670
594,Syracuse ,False,Syracuse +13.5 L,2026-03-10,106,-106,148,20.4,spread,1651.3,L,337,-1651
595,Texas ,False,Texas A&M Corpus Christi 1h ml L,2026-03-10,-144,144,-116,9.9,moneyline,852.6,W,84,735
595,Texas ,False,Texas A&M Corpus Christi ml L,2026-03-10,-101,101,133,17.1,moneyline,918.4,L,157,-918
596,UT ,False,UT Rio Grande Valley ml L,2026-03-10,110,-110,155,21.4,moneyline,394.1,L,84,-394
596,UT ,False,UT Rio Grande Valley ml L,2026-03-10,214,-214,400,59.2,moneyline,152.6,L,90,-152
597,Vermont ,False,Vermont -10.5 L,2026-03-10,-115,115,112,13.4,spread,654.5,L,88,-654
598,Virginia ,False,Virginia Tech ml L,2026-03-10,-152,152,-135,5.0,moneyline,3303.3,L,165,-3303
599,Wake ,False,Wake Forest -6.5 L,2026-03-10,109,-109,143,16.3,spread,1709.4,L,279,-1709
600,Washington ,True,Washington Wizards u248.5 L,2026-03-10,108,-108,130,10.6,total,1237.6,L,131,-1237
