Bet,Team,Total,ExactBet,Date,Market,Other,LineTaken,Edge,BetType,RichStake,Grade,Profit
448,Marshall ,False,Marshall +10.5 L,2026-02-19,-115,115,104,9.1,spread,725.9,W,754
449,Marshall ,True,Marshall u162.5 L,2026-02-19,-107,107,110,8.6,total,685.3,L,-685
450,Memphis ,False,Memphis +15.5 L,2026-02-19,-106,106,116,11.1,spread,9731.4,L,-9730
451,Montana ,False,Montana State ml L,2026-02-19,351,-351,500,33.0,moneyline,246.4,L,-246
452,New ,False,New Haven ml L,2026-02-19,-170,170,-137,8.9,moneyline,1028.3,W,750
453,Orlando ,True,Orlando Magic o107.5 1h L,2026-02-19,-125,128,-110,6.7,total,1370.6,W,1245
454,Phoenix ,False,Phoenix Suns +24.5 L,2026-02-19,105,-125,118,1.9,spread,3110.8,L,-3110
455,Phoenix ,True,Phoenix Suns o232.5 L,2026-02-19,-148,148,108,21.3,total,10152.8,mix,-1431
456,Presbyterian ,False,Presbyterian ml L,2026-02-19,104,-104,120,7.8,moneyline,616.7,W,740
457,Sacramento ,False,Sacramento Kings +20.5 L,2026-02-19,-109,109,105,6.9,spread,2349.9,L,-2349
458,USC ,False,USC Upstate +6.5 L,2026-02-19,-120,120,-139,-6.2,spread,695.1,W,500
459,UT ,False,UT Martin ml L,2026-02-19,135,-135,190,23.4,moneyline,393.4,L,-393
460,Weber ,False,Weber State ml L,2026-02-19,-200,200,-175,4.8,moneyline,2127.3,W,1215
461,Rider ,False,Rider +5.5 L,2026-02-20,-117,117,118,17.5,spread,197.4,L,-197
462,California ,False,California -9.5 L,2026-02-21,-111,111,120,9.6,spread,2100.0,L,-2100
463,Clemson ,False,Clemson +1.5 L,2026-02-21,-126,126,-106,8.3,spread,840.0,L,-840
464,Coastal ,False,Coastal Carolina -10.5 L,2026-02-21,100,-100,112,6.0,spread,0.0,P,0
465,Cornell ,False,Cornell ml L,2026-02-21,100,-100,135,17.5,moneyline,304.5,L,-304
466,Duquesne ,False,Duquesne +12.5 L,2026-02-21,115,-115,125,4.7,moneyline,197.4,W,246
467,Georgetown ,True,Georgetown o113.5 L,2026-02-21,-132,132,-109,9.1,total,89.6,L,-89
468,Georgia ,True,Georgia Tech u160.5 L,2026-02-21,-107,107,112,9.6,total,441.0,W,493
469,Miami ,True,Miami Florida u162.5 L,2026-02-21,107,-107,130,11.1,total,350.0,L,-350
470,Nebraska ,False,Nebraska -26.5 L,2026-02-21,129,-129,170,17.9,spread,350.0,L,-350
471,North ,True,North Carolina u138.5 L,2026-02-21,-130,130,-110,7.9,total,520.1,L,-520
472,St. ,False,St. John's -29.5 L,2026-02-21,114,-114,130,7.5,spread,595.0,L,-595
473,Texas ,False,Texas Tech -25.5 L,2026-02-21,111,-111,133,10.2,spread,1073.8,W,1429
474,UL ,False,UL Lafayette -7.5 L,2026-02-21,-108,108,110,9.0,spread,210.0,W,231
475,Virginia ,False,Virginia ml L,2026-02-21,-139,139,115,30.4,moneyline,3129.7,W,3903
476,Abilene ,False,Abilene Christian +3.5 L,2026-02-28,104,-104,125,10.3,spread,594.3,L,-594
477,Arkansas ,False,Arkansas +6.5 L,2026-02-28,-104,104,115,9.6,spread,2149.0,L,-2149
478,Arkansas ,True,Arkansas o177.5 L,2026-02-28,101,-137,135,8.7,total,366.8,W,495
479,Auburn ,False,Auburn ml L,2026-02-28,247,-247,275,8.1,moneyline,300.3,L,-300
480,Austin ,False,Austin Peay ml L,2026-02-28,-114,114,119,16.5,moneyline,697.2,L,-696
481,Bellarmine ,False,Bellarmine -6.5 L,2026-02-28,-106,106,125,15.8,spread,595.0,W,743
482,Boise ,False,Boise State -13.5 L,2026-02-28,105,-105,125,9.8,spread,604.1,W,755
483,Cal ,True,Cal State Northridge o175.5 L,2026-02-28,108,-108,140,15.4,total,538.3,W,753
484,California ,False,California +2.5 L,2026-02-28,-110,110,-130,-7.3,spread,977.9,L,-977
485,Connecticut ,False,Connecticut ml L,2026-02-28,-153,153,-11,15.0,moneyline,1845.9,W,1661
486,Detroit ,True,Detroit Mercy o172.5 L,2026-02-28,-115,115,109,11.4,total,308.7,mix,25
487,East ,False,East Tennessee State +4.5 L,2026-02-28,104,-104,123,9.3,spread,604.1,L,-604
488,Florida ,True,Florida State u153.5 L,2026-02-28,1,-1,122,10.6,total,404.6,W,494
489,Furman ,False,Furman ml L,2026-02-28,158,-158,230,27.2,moneyline,375.9,L,-375
490,Furman ,True,Furman o148.5 L,2026-02-28,-102,102,118,10.0,total,834.4,W,992
491,Howard ,True,Howard o138.5 L,2026-02-28,-110,-110,110,5.0,total,149.8,W,164
492,Idaho ,False,Idaho ml L,2026-02-28,-102,102,110,6.0,moneyline,630.0,L,-630
493,Iowa ,True,Iowa u151.5 L,2026-02-28,-146,146,-111,12.8,total,556.5,W,501
494,IUPUI ,False,IUPUI ml L,2026-02-28,45,-45,187,15.8,moneyline,240.1,L,-239
495,Lafayette ,False,Lafayette -9.5 L,2026-02-28,-104,104,116,10.1,spread,143.5,L,-143
496,Lamar ,False,Lamar +4.5 L,2026-02-28,-102,102,118,10.1,spread,213.5,L,-213
497,Le ,False,Le Moyne ml L,2026-02-28,-156,156,-118,12.6,moneyline,291.2,L,-291
498,Long ,False,Long Beach State ml L,2026-02-28,-107,107,120,13.7,moneyline,619.5,W,743
499,Louisville ,False,Louisville ml L,2026-02-28,126,-126,165,17.3,moneyline,500.5,L,-500
500,Loyola ,True,Loyola Maryland u153.5 L,2026-02-28,-182,166,-128,10.0,total,429.8,W,334
501,Massachusetts ,True,Massachusetts o142.5 L,2026-02-28,104,-104,133,14.2,total,165.9,W,220
502,Missouri ,False,Missouri -20.5 L,2026-02-28,101,-101,118,8.5,spread,705.6,W,832
503,Missouri ,True,Missouri u152.5 L,2026-02-28,-103,103,112,7.6,total,450.1,W,504
504,NC ,False,NC State -7.5 L,2026-02-28,68,-104,249,24.8,spread,297.5,L,-297
505,Nebraska ,True,Nebraska u144.5 L,2026-02-28,-104,104,120,9.2,total,1049.3,L,-1049
506,Nebraska-Omaha ,True,Nebraska-Omaha u136.5 L,2026-02-28,-106,106,125,15.8,total,594.3,W,742
507,New ,False,New Mexico State -4.5 L,2026-02-28,117,-117,135,8.3,spread,183.4,L,-183
508,North ,False,North Carolina A&T +13.5 L,2026-02-28,-136,136,-9,10.0,spread,366.8,W,335
509,Northern ,False,Northern Colorado ml L,2026-02-28,116,-116,140,11.1,moneyline,179.9,W,251
510,Ole ,False,Ole Miss -2.5 L,2026-02-28,-112,112,120,16.2,spread,688.1,W,825
511,Pacific ,False,Pacific +8.5 L,2026-02-28,-103,103,116,9.6,spread,143.5,L,-143
512,Penn ,False,Penn State +4.5 L,2026-02-28,-3,3,114,8.8,spread,1481.2,W,1681
513,Portland ,False,Portland State +12.5 L,2026-02-28,130,-130,120,-4.3,spread,630.0,W,756
514,Providence ,False,Providence +3.5 L,2026-02-28,-113,113,104,8.0,spread,7653.1,W,7395
515,Queens ,True,Queens o142.5 L,2026-02-28,-107,107,112,9.6,total,149.1,W,166
516,Samford ,False,Samford -12.5 L,2026-02-28,101,-101,130,14.4,spread,193.2,L,-193
517,San ,False,San Diego State ml L,2026-02-28,260,-260,500,66.7,moneyline,490.0,L,-490
518,San ,True,San Francisco u152.5 L,2026-02-28,-115,-115,100,0.0,total,458.5,W,458
519,Seton ,True,Seton Hall u123.5 L,2026-02-28,106,-106,125,9.2,total,372.4,L,-372
520,St. ,False,St. John's -30.5 L,2026-02-28,-102,102,128,15.1,spread,1960.0,L,-1960
521,Stetson ,False,Stetson -7.5 L,2026-02-28,-108,108,112,10.4,spread,299.6,W,334
522,Stony ,True,Stony Brook o131.5 L,2026-02-28,-104,104,120,12.2,total,619.5,L,-619
523,Tarleton ,True,Tarleton State o154.5 L,2026-02-28,-104,104,125,14.7,total,604.1,L,-604
524,Tennessee ,False,Tennessee State -22.5 L,2026-02-28,-108,108,114,11.1,spread,144.9,W,165
525,Texas ,False,Texas ml L,2026-02-28,105,-105,136,15.4,moneyline,8372.7,mix,2397
526,Texas ,True,Texas Tech u148.5 L,2026-02-28,-101,101,120,12.3,total,3554.6,L,-3553
527,The ,False,The Citadel +6.5 L,2026-02-28,0,0,137,19.1,spread,724.5,mix,-287
528,Toledo ,True,Toledo u145.5 L,2026-02-28,-105,105,132,18.8,total,571.9,L,-571
529,Toronto ,False,Toronto Raptors -10.5 L,2026-02-28,247,-247,290,12.4,spread,1255.1,L,-1255
530,Toronto ,True,Toronto Raptors u246.5 L,2026-02-28,4,-4,140,17.5,total,2262.4,L,-2262
531,UC ,True,UC Santa Barbara o127.5 L,2026-02-28,0,0,120,10.2,total,1185.1,L,-1185
532,UMBC ,False,UMBC -9.5 L,2026-02-28,-104,104,112,8.1,spread,149.8,W,167
533,UMBC ,True,UMBC o151.5 L,2026-02-28,-105,105,120,12.7,total,175.7,L,-175
534,UNC ,True,UNC Greensboro u166.5 L,2026-02-28,-110,110,118,14.2,total,211.4,W,249
535,USC ,False,USC Upstate -12.5 L,2026-02-28,10,-10,128,8.8,spread,326.9,L,-326
536,Utah ,False,Utah Tech ml L,2026-02-28,149,-149,188,15.7,moneyline,401.8,L,-401
537,UTEP ,True,UTEP u170.5 L,2026-02-28,-101,101,123,12.1,total,198.1,L,-198
538,Vanderbilt ,False,Vanderbilt +3.5 L,2026-02-28,-107,107,112,9.6,spread,751.1,L,-751
539,Virginia ,True,Virginia u132.5 L,2026-02-28,-102,102,125,13.6,total,395.5,W,494
540,VMI ,True,VMI u155.5 L,2026-02-28,-104,104,114,9.1,total,147.0,L,-147
541,Wake ,False,Wake Forest +1.5 L,2026-02-28,-102,102,118,10.1,spread,2097.2,W,2474
542,Weber ,False,Weber State -14.5 L,2026-02-28,100,-100,125,12.5,spread,594.3,L,-594
543,Western ,False,Western Carolina -5.5 L,2026-02-28,106,-106,120,6.8,spread,206.5,W,247
544,Wofford ,False,Wofford ml L,2026-02-28,672,-672,1150,61.9,moneyline,112.0,L,-112
545,Wright ,False,Wright State +10.5 L,2026-02-28,108,-108,128,9.6,spread,581.0,W,743
546,Cal ,False,Cal State Fullerton +4.5 L,2026-03-05,193,-193,239,13.7,spread,804.3,mix,1470
547,Cal ,True,Cal State Northridge o170.5 L,2026-03-05,-106,106,116,11.1,total,140.0,L,-140
548,Colgate ,False,Colgate -10.5 L,2026-03-05,-103,103,131,14.9,spread,732.2,W,916
549,Denver ,False,Denver Nuggets ml L,2026-03-05,-170,170,-137,8.9,moneyline,1670.9,W,1219
550,East ,False,East Carolina +23.5 L,2026-03-05,-114,114,123,18.8,spread,198.1,L,-198
551,Evansville ,True,Evansville o141.5 L,2026-03-05,118,-118,118,0.0,total,389.9,L,-389
552,Jacksonville ,False,Jacksonville State -9.5 L,2026-03-05,-108,108,115,11.6,spread,141.4,L,-141
553,Loyola ,False,Loyola Marymount ml L,2026-03-05,265,-265,315,13.6,moneyline,515.9,L,-515
554,Middle ,True,Middle Tennessee State u137.5 L,2026-03-05,106,-106,135,14.1,total,180.6,L,-180
555,Missouri ,False,Missouri State +4.5 L,2026-03-05,110,-110,138,13.3,spread,176.4,W,243
556,Navy ,False,Navy ml L,2026-03-05,-61,61,3,18.8,moneyline,711.2,mix,229
557,New ,False,New Orleans Pelicans -9.5 L,2026-03-05,108,-143,120,-1.1,spread,676.2,W,811
558,Pepperdine ,True,Pepperdine u157.5 L,2026-03-05,101,-101,130,14.4,total,187.6,W,243
559,South ,True,South Florida o184.5 L,2026-03-05,112,-112,125,6.1,total,779.8,mix,98
560,Tulsa ,False,Tulsa -22.5 L,2026-03-05,-140,140,-105,13.9,spread,257.6,W,245
561,UC ,False,UC San Diego ml L,2026-03-05,-119,119,-105,6.1,moneyline,427.7,L,-427
562,UT ,True,UT Arlington o129.5 L,2026-03-05,108,-108,133,12.0,total,183.4,L,-183
563,Washington ,False,Washington Wizards +13.5 L,2026-03-05,-124,124,105,13.5,spread,1161.3,W,1219
564,Arkansas ,False,Arkansas ml L,2026-03-07,-109,109,118,14.4,moneyline,4860.1,W,5939
565,Arkansas ,True,Arkansas u162.5 L,2026-03-07,-6,6,121,14.1,total,1598.1,mix,183
566,Connecticut ,False,Connecticut ml L,2026-03-07,492,-492,700,22.1,moneyline,892.5,L,-891
567,Connecticut ,True,Connecticut o134.5 L,2026-03-07,-100,100,125,12.5,total,96.6,L,-96
568,Davidson ,False,Davidson -11.5 L,2026-03-07,-109,109,120,14.7,spread,404.6,L,-404
569,Georgia ,False,Georgia Tech +10.5 L,2026-03-07,-124,124,118,19.0,spread,14499.1,mix,6148
570,Kansas ,True,Kansas State o153.5 L,2026-03-07,-129,129,-103,11.0,total,249.9,W,242
571,Louisiana ,True,Louisiana Tech o132.5 L,2026-03-07,-103,103,118,10.6,total,410.9,L,-410
572,Missouri ,False,Missouri ml L,2026-03-07,-107,107,114,10.6,moneyline,1348.2,L,-1348
573,Notre ,True,Notre Dame o137.5 L,2026-03-07,-107,107,115,11.1,total,844.2,W,970
574,Stony ,False,Stony Brook ml L,2026-03-07,214,-214,245,9.9,moneyline,329.7,L,-329
575,UNC ,True,UNC Greensboro o154.5 L,2026-03-07,-132,132,105,16.6,total,92.4,L,-92
576,Villanova ,False,Villanova -12.5 L,2026-03-07,-133,133,-106,10.9,spread,1721.3,W,1623
577,Charlotte ,True,Charlotte Hornets u205.5 L,2026-03-10,150,-150,128,-8.8,total,572.6,W,732
578,Detroit ,True,Detroit Pistons u114.5 1h L,2026-03-10,-166,166,-127,11.5,total,1547.0,W,1218
579,Florida ,False,Florida International ml L,2026-03-10,125,-125,150,11.1,moneyline,1629.6,L,-1629
580,Idaho ,False,Idaho -6.5 L,2026-03-10,-104,104,116,11.7,spread,1619.8,W,1830
581,Idaho ,True,Idaho o144.5 L,2026-03-10,-105,105,132,18.8,total,1540.7,mix,1198
582,Kansas ,True,Kansas State u190.5 L,2026-03-10,109,-109,128,9.1,total,1145.9,L,-1145
583,Long ,False,Long Island ml L,2026-03-10,-122,122,-110,4.9,moneyline,2685.9,W,2441
584,Los ,False,Los Angeles Lakers -13.5 L,2026-03-10,-132,132,-106,8.2,spread,5375.3,W,4883
585,Mercyhurst ,True,Mercyhurst u152.5 L,2026-03-10,116,-117,120,1.6,total,1222.2,W,1466
586,Milwaukee ,False,Milwaukee Bucks -4.5 L,2026-03-10,8,-8,35,10.8,spread,5938.1,L,-5937
587,Minnesota ,True,Minnesota Timberwolves o216.5 L,2026-03-10,164,-164,188,9.1,total,389.9,W,733
588,Monmouth ,True,Monmouth u136.5 L,2026-03-10,-103,103,116,9.6,total,1264.2,L,-1264
589,Oklahoma ,False,Oklahoma State -9.5 L,2026-03-10,-112,112,108,9.9,spread,2144.1,L,-2144
590,Oklahoma ,True,Oklahoma State o174.5 L,2026-03-10,175,-175,175,0.0,total,837.9,W,1466
591,Oregon ,False,Oregon +18.5 L,2026-03-10,-111,111,106,8.4,spread,2305.8,W,2444
592,Portland ,False,Portland State ml L,2026-03-10,159,-159,387,75.0,moneyline,1258.6,L,-1258
593,San ,False,San Antonio Spurs ml L,2026-03-10,-144,144,-120,8.2,moneyline,4404.4,W,3670
594,Syracuse ,False,Syracuse +13.5 L,2026-03-10,106,-106,148,20.4,spread,1651.3,L,-1651
595,Texas ,False,Texas A&M Corpus Christi 1h ml L,2026-03-10,-122,122,8,13.5,moneyline,1771.0,mix,-183
596,UT ,False,UT Rio Grande Valley ml L,2026-03-10,162,-162,277,40.3,moneyline,546.7,L,-546
597,Vermont ,False,Vermont -10.5 L,2026-03-10,-115,115,112,13.4,spread,654.5,L,-654
598,Virginia ,False,Virginia Tech ml L,2026-03-10,-152,152,-135,5.0,moneyline,3303.3,L,-3303
599,Wake ,False,Wake Forest -6.5 L,2026-03-10,109,-109,143,16.3,spread,1709.4,L,-1709
600,Washington ,True,Washington Wizards u248.5 L,2026-03-10,108,-108,130,10.6,total,1237.6,L,-1237
